ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-06-01 21:00:00,76.3997802734375,3000.0,3000.0,100.541024435707,148.8914962197647,142.62680920107158,95.41,95.41,95.41
2027-06-01 22:00:00,75.14889526367188,3000.0,3000.0,86.53,88.15504664709017,89.12762477479339,86.53,86.53,86.53
2027-06-01 23:00:00,68.19139862060547,127.51093275418272,83.59,83.59,83.59,81.27932288351067,81.27932288351067,81.09140735097014,81.09140735097014
2027-06-02 00:00:00,68.19036865234375,68.12762221602632,68.12762221602632,68.12762221602632,68.12762221602632,76.73678343838833,76.73678343838833,76.443271516813,76.443271516813
2027-06-02 01:00:00,67.12488555908203,0.0,0.0,0.0,0.0,72.74544601433846,72.74544601433846,72.74544601433846,72.74544601433846
2027-06-02 02:00:00,67.12488555908203,0.0,0.0,0.0,0.0,71.88661816485691,63.47,63.47,63.47
2027-06-02 03:00:00,73.28732299804688,0.0,0.0,0.0,0.0,75.88999913389702,59.84,59.84,59.84
2027-06-02 04:00:00,80.53998565673828,0.0,0.0,0.0,0.0,80.90040125237792,62.47,62.47,62.47
2027-06-02 05:00:00,80.47093963623047,0.0,0.0,0.0,0.0,80.0081040846749,63.55,63.55,63.55
2027-06-02 06:00:00,68.19036865234375,0.0,0.0,0.0,0.0,59.05041094298712,59.05041094298712,59.05041094298712,59.05041094298712
2027-06-02 07:00:00,13.61608505249023,0.0,0.0,0.0,0.0,-31.06651940131501,-31.59780923455143,0.0,0.0
2027-06-02 08:00:00,4.453417778015137,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 09:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 10:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 11:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 12:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 13:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 14:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-02 17:00:00,0.0,57.84660141874794,57.84660141874794,55.21084864327728,58.53020109734407,0.0,0.0,0.0,0.0
2027-06-02 18:00:00,0.0,72.59963259985375,72.59963259985375,72.59963259985375,72.78070602448723,58.65212561942506,58.65212561942506,58.65212561942506,58.65212561942506
2027-06-02 19:00:00,0.0,98.8977375578332,98.8977375578332,99.82,95.02868008739068,41.73848548861963,41.73848548861963,41.73848548861963,41.73848548861963
2027-06-02 20:00:00,0.0,129.20806257925776,93.0,93.0,93.0,0.0,0.0,0.0,0.0
2027-06-02 21:00:00,0.0,83.72238550548093,83.72238550548093,83.72238550548093,83.53237461601496,0.0,0.0,0.0,0.0
2027-06-02 22:00:00,0.0,70.6144050890844,70.6144050890844,70.43496705000855,70.6144050890844,0.0,0.0,0.0,0.0
2027-06-02 23:00:00,0.0,38.43837094712067,38.43837094712067,41.73848548861963,45.06479919387683,0.0,0.0,0.0,0.0
2027-06-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 06:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 07:00:00,0.0,0.0,0.0,0.0,0.0,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 08:00:00,0.0,0.0,0.0,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
